,plot_id,Station_id,Treatment_2,sp_id,Elevation,log_init_height,log_LA,log_SMF,log_SRL,log_RGR_plus_1,log_ConNeigh,log_HetNeigh,Treatment_factor
132,4,4,0,34,300,0.610244624,0.713713818,-0.801969645,0.995862757,-0.291743952,-0.451367607,0.760062437,Control
133,4,4,0,34,300,0.088058959,-0.52972235,-0.062937878,0.926441514,-0.637988767,-0.451367607,0.760062437,Control
134,4,4,0,43,300,-0.809576353,-1.401766331,-1.457276193,2.384303718,-1.073060238,-0.606328677,0.827735226,Control
135,4,4,0,43,300,0.194541638,-0.740176142,-0.921423051,2.245159469,-0.610789048,-0.606328677,0.827735226,Control
136,4,4,0,47,300,-0.229806094,-0.570003965,-0.52383669,-0.740266672,-0.671367367,-0.451367607,0.760062437,Control
137,4,4,0,47,300,-0.165927618,-1.642567176,0.083915135,-0.685295759,-0.696730278,-0.451367607,0.760062437,Control
138,4,4,0,47,300,0.245584276,-1.32664757,0.773789838,-0.689852914,-0.332291459,-0.451367607,0.760062437,Control
139,4,4,0,48,300,-0.484766502,0.361902342,-0.48825067,-0.734325035,-0.07536994,-0.606328677,0.827735226,Control
140,4,4,0,48,300,-0.145112432,0.523914173,-1.874264275,-0.27753249,-0.689130788,-0.606328677,0.827735226,Control
141,4,4,0,51,300,-0.839384024,1.991970263,0.725938193,-1.999872849,1.601651774,-0.606328677,0.827735226,Control
142,4,4,0,51,300,-0.06410229,1.561933177,1.043518804,0.118737872,0.984813043,-0.606328677,0.827735226,Control
143,5,5,0,19,300,-0.751354748,-1.126530084,-0.899112852,-0.873872822,0.700430716,-0.761289746,-0.931757304,Control
144,5,5,0,33,300,-0.00557581,-0.459233256,-0.451754512,-0.084327345,-0.954643703,-0.761289746,-0.931757304,Control
145,5,5,0,47,300,-0.208268979,-0.415524381,0.197938539,-0.876402277,-0.720551378,-0.296406537,-1.134775672,Control
146,5,5,0,47,300,0.142060993,-0.960839893,0.57896451,-1.138577265,-0.661039578,-0.296406537,-1.134775672,Control
147,5,5,0,47,300,0.843416014,0.285510742,0.02603086,-1.70019276,-0.756821028,-0.296406537,-1.134775672,Control
148,5,5,0,47,300,-1.564933408,-1.708368454,1.097032479,-0.300340183,-0.256217251,-0.296406537,-1.134775672,Control
149,5,5,0,51,300,-1.395458469,0.515841997,-1.34590428,0.333352152,-0.105186043,-0.761289746,-0.931757304,Control
150,5,5,0,57,300,1.323736103,1.258444477,1.038809098,-0.385180436,-1.192832938,-0.606328677,-0.999430093,Control
