,mean,sd,2.50%,97.50%,n_eff,Rhat4,,,
a_plot[35],0.091038654,1.008223179,-1.564194228,2.106140082,55.9358671,1.023159732,,,
a_plot[100],0.092648207,1.008245828,-1.565634633,2.10572368,55.98832363,1.023101435,,,
a_plot[93],0.099201621,1.00812916,-1.561902673,2.105702921,56.04099646,1.023140462,,,
a_station[39],0.043191911,1.034953007,-2.003322417,2.105568295,287.5479049,1.013545347,,,
a_plot[107],0.102907702,1.00799245,-1.556170884,2.105259537,56.06891925,1.023143225,,,
a_plot[2],0.099506686,1.007169218,-1.555982494,2.104858895,55.95263882,1.023184633,,,
a_plot[34],0.0974678,1.007395927,-1.556275786,2.104275903,55.92462435,1.023225959,,,
a_station[53],0.031162415,1.04124881,-2.03095845,2.104252428,290.234215,1.013269469,,,
a_plot[120],0.088621205,1.008725544,-1.566321346,2.102713079,56.0413511,1.022968382,,,
a_station[13],0.041429036,1.034539015,-2.001676377,2.101995795,287.9166671,1.013487984,,,
a_plot[57],0.095246584,1.008624816,-1.564594537,2.10140245,56.06818375,1.023154829,,,
a_station[63],0.032385093,1.03958007,-2.02505967,2.101049748,289.6130188,1.013472668,,,
a_plot[131],0.091615252,1.00919356,-1.574448344,2.100252955,56.15784524,1.02313819,,,
a_plot[68],0.105376445,1.007270125,-1.551640938,2.100206624,55.98866907,1.023194945,,,
a_plot[109],0.080550512,1.00808636,-1.574675516,2.100002897,56.05044295,1.023061253,,,
a_plot[136],0.088569814,1.009907047,-1.578820339,2.097479329,56.15295809,1.023049958,,,
a_station[5],0.03492797,1.035029956,-2.010609282,2.097404561,287.0235389,1.013417201,,,
a_station[62],0.027924502,1.038499218,-2.021171091,2.095141517,289.774706,1.013382929,,,
a_station[19],0.020404213,1.03637399,-2.02403761,2.087866181,287.5642582,1.013460507,,,
a_plot[60],0.081746644,1.009983627,-1.581439028,2.087864288,56.15197842,1.023102442,,,
a_station[43],0.022366272,1.035490624,-2.028353123,2.084486631,287.1283119,1.013546917,,,
a_plot[106],0.064442726,1.009113366,-1.593240138,2.078967147,56.04089267,1.023103888,,,
a_plot[12],0.070668422,1.00774089,-1.586813335,2.074674193,55.91214214,1.023259684,,,
a_station[23],0.008280357,1.03653856,-2.044236446,2.072899188,288.0780725,1.013420717,,,
a_plot[145],0.068179827,1.008653717,-1.595852519,2.071914592,55.99778214,1.023217434,,,
